内容,时间,分词,情感分值,情感类型
想找一位不那么厉害但有点厉害的，为人不错的导师,2023-02-22 09:21,一位 厉害 厉害 不错 导师,0.9935,pos
是动力工程专硕吗？,2023-02-24 03:09,动力工程 专硕,0.8296,pos
想求求计算机科学与技术专业大一两个学期的必修专业课程都有哪些 各位友友们帮帮鼠鼠吧 🙏🏻🙏🏻🙏🏻,2023-02-22 20:03,求求 计算机科学 技术 专业 一两个 学期 必修 专业课程 友友 帮帮 鼠鼠,0.9908,pos
大二降转？我去年降转找的机智他们说属于资源紧缺类专业，不收降转生。,2023-02-23 21:52,大二 降转 去年 降转 机智 资源 紧缺 专业 不收降 转生,0.1488,neg
c，伪代码，计算机基础知识类的，没啥好学的，学学c或c++，写两个项目理解一下就行,2023-02-24 00:47,代码 计算机 基础知识 好学 学学 两个 项目 理解 就行,0.7171,pos
我也想知道这个问题的答案,2023-02-22 11:43,答案,0.6555,pos
北校区扫码出照片证明你是郑大的就能进，别的校区不知道,2023-02-22 13:31,北校区 扫码 照片 证明 郑大 校区,0.955,pos
主校区可以，有小道,2023-02-22 13:42,校区 小道,0.9293,pos
跟贵校一个女生网恋，被骗了一百块。,2023-02-23 13:50,贵校 女生 网恋 一百块,0.4975,pos
哦，我们已经了解相关情况了，请问还有什么事吗？,2023-02-23 15:09,相关 情况 请问,0.086,neg
23考研郑州大学，请问材料学院金属材料方向的老师里面，哪个比较推荐呢，有没有比较坑的老师，求推荐避雷,2023-02-23 23:28,考研 郑州大学 请问 材料 学院 金属材料 方向 老师 推荐 有没有 老师 推荐 避雷,0.99,pos
有一些复试问题想问一下，有偿。,2023-02-23 21:30,复试 有偿,0.4219,pos
化工院的可以吗,2023-02-23 21:39,化工,0.5275,pos
马竞老师，强无敌,2023-02-23 22:12,老师 无敌,0.958,pos
男自强,2023-02-23 23:27,自强,0.7418,pos
代理来～,2023-02-23 22:10,代理,0.4951,pos
要是挂科了还有必要卷综测吗,2023-02-22 21:12,挂科 综测,0.7001,pos
LZ是化学学院的新生吗？,2023-02-22 22:48,化学 学院 新生,0.3245,neg
没必要去做想做的事情，热爱的事情,2023-02-23 00:27,事情 热爱 事情,0.7906,pos
珍惜美好的大学时光，,2023-02-23 10:06,珍惜 美好 大学 时光,0.9894,pos
什么都没用了,2023-02-23 11:17,没用,0.0588,neg
有用，每学年的奖学金是另算的，可以拼个三好学生,2023-02-23 22:18,有用 每学年 奖学金 另算 拼个 三好学生,0.5012,pos
1-4节，政治课，价格私,2023-02-23 21:53,政治课 价格,0.5336,pos
有大学生想接触主播这行的吗？看我主页,2023-02-23 21:48,大学生 接触 主播 这行 主页,0.2276,neg
请问一下郑州大学交通运输专业研究生毕业以后工作情况怎么样，有没有这个专业的学长学姐啊，求告知！,2023-02-23 21:22,请问 郑州大学 交通运输 专业 研究生 毕业 工作 情况 有没有 专业 学长 学姐 告知,0.9905,pos
要选导师了，学长学姐们有没有好的科室建议或者导师避雷，求求了,2023-02-23 21:15,要选 导师 学长 学姐 有没有 科室 建议 导师 避雷 求求,0.5559,pos
想要在郑州大学附近摆摊卖水果，请问哪里可以让摆呢，今天问去附近转了下问环卫大叔他们说学生们都在学校里面不出来，是这样的吗,2023-02-23 17:35,想要 郑州大学 摆摊 水果 请问 问去 环卫 大叔 学生 学校,0.6306,pos
哪里让摆摊不知道，但是学校里学生现在进出校园是没有问题的,2023-02-23 20:24,摆摊 学校 学生 进出 校园,0.6232,pos
22级调剂生考吉大300分出头调剂的郑大，靠着本科实验做的多，复试分高进来的，还有些别的因素，有人看就细嗦,2023-02-23 10:37,调剂 生考 吉大 出头 调剂 郑大 靠着 本科 实验 复试 分高 因素 有人 细嗦,0.0451,neg
先说下啊，材料与化工专业哈,2023-02-23 10:40,先说 材料 化工 专业,0.8855,pos
西索,2023-02-23 10:43,西索,0.6105,pos
学长可以加一下联系方吗一个专业,2023-02-23 11:23,学长 专业,0.9824,pos
学长学长，一个专业的，🐭🐭本科太混了，啥都没，复试怎么办呀,2023-02-23 12:46,学长 学长 专业 本科 复试,0.9799,pos
本科哪里的,2023-02-23 18:20,本科,0.7152,pos
刚刚听一个学弟说，现在还没到调剂关节是吧，那感觉晚点再说吧，先好好准备第一志愿复试就行,2023-02-23 18:25,刚刚 学弟 没到 调剂 关节 感觉 晚点 好好 第一 志愿 复试 就行,0.6026,pos
快数学考试了，先忙完这几天就来水帖了,2023-02-23 18:26,数学考试 先忙 几天 水帖,0.8337,pos
楼主能加个v吗，我也0856,2023-02-23 19:15,楼主 能加个,0.8733,pos
学长，我这次化学工程与技术考了302，一志愿寄了，调郑大化工学院有戏吗,2023-02-23 19:50,学长 化学工程 技术 考了 志愿 郑大 化工学院 有戏,0.6935,pos
新校区到郑航龙子湖校区,2023-02-23 19:57,校区 郑航 龙子 校区,0.9718,pos
本专业有上岸的学姐学长吗，想问下复试线,2022-06-08 09:14,专业 上岸 学姐 学长 问下 复试线,0.873,pos
需要复试资料吗,2023-02-23 19:32,复试 资料,0.6317,pos
有今天参加面试的吗？,2023-02-23 19:01,参加 面试,0.9258,pos
有没有水利学院，道路交通运输方向的研究生学长学姐，想了解了解情况。,2023-02-23 15:38,有没有 水利 学院 道路交通 运输 方向 研究生 学长 学姐 情况,0.8229,pos
或者说，有没有水利研究生的群,2023-02-23 15:54,或者说 有没有 水利 研究生,0.2658,neg
有没有学长学姐，帮帮忙,2023-02-23 18:28,有没有 学长 学姐 帮帮忙,0.9122,pos
去微博问问吧,2023-02-23 18:33,微博 问问,0.4996,pos
蹲近现代史的学长学姐,2023-02-23 18:23,近现代史 学长 学姐,0.9914,pos
大专变成酒吧舞捏,2023-02-23 17:25,大专 酒吧,0.6888,pos
建议改成加州大学，都幻想时间了，还不幻想个大的,2023-02-23 18:19,建议 改成 加州大学 幻想 时间 幻想,0.047,neg
有没有大学生想从事直播的.来找我.详情细聊..可兼职..,2023-02-23 17:37,有没有 大学生 直播 详情 细聊 兼职,0.4042,pos
女孩子哦.,2023-02-23 17:46,女孩子,0.777,pos
90.00或者不是学生的也可以,2023-02-23 17:47,学生,0.4104,pos
问一些复试的问题，求求,2022-02-22 14:25,复试 求求,0.6183,pos
可以私聊哈,2022-02-22 14:26,私聊,0.9378,pos
请问工业工程考这个管理科学与工程还需要加试吗？,2022-03-01 20:05,请问 工业 工程 管理科学 工程 加试,0.3855,pos
偶遇研友,2022-03-24 13:53,偶遇 研友,0.864,pos
可以辅导复试吗,2023-02-23 17:50,辅导 复试,0.6502,pos
工业工程物流管理电子商务工程管理,2023-02-13 17:38,工业 工程 物流 管理 电子商务 工程 管理,0.1465,neg
可以辅导复试吗,2023-02-23 17:49,辅导 复试,0.6502,pos
保安 促销  发传单,2023-02-23 17:26,保安 促销 发传单,0.1544,neg
出郑州大学961材料科学基础初试资料,2023-02-23 16:30,郑州大学 材料科学 基础 初试 资料,0.9346,pos
药理学学长学姐看一看小弟留的帖子，有偿咨询复试事宜啦，骗子勿扰,2023-02-23 16:29,药理学 学长 学姐 看一看 小弟 帖子 有偿 咨询 复试 事宜 骗子 勿扰,0.2898,neg
